,sentence,entity,entity_tag,entity_pos_start_rel,entity_pos_end_rel,label
0,"Джеймс «Бадди» Макгирт (James (Buddy) McGirt, тренер Дадашева упрашивал дагестанского спортсмена остановить бой, но тот хотел продолжать.",спортсмена,PROFESSION,86,96,0
1,"«За всю нашу долгую карьеру нам довелось играть во многих интересных местах, но это шоу в Гаване станет для нас важнейшим событием, и мы надеемся, что и для наших кубинских друзей тоже», — это было отмечено в заявлении группы, опубликованном перед прибытием музыкантов на Кубу.",музыкантов,PROFESSION,258,268,0
2,"Ранее, 7 декабря, толпа болельщиков перекрыла движение по Ленинградскому проспекту в Москве, требуя наказать виновных в убийстве, а в Санкт-Петербурге прошла акция в память о Егоре Свиридове на площади Восстания.",Егоре Свиридове,PERSON,175,190,0
3,"В субботу, 21 июля 2018 года, на арене СК «Олимпийский» в Москве украинец Александр Усик победил уроженца Северной Осетии россиянина Мурата Гассиева в финале Всемирной боксерской суперсерии (WBSS), став абсолютным чемпионом мира в первом тяжёлом весе, обладателем кубка Мохаммеда Али, поясов чемпиона мира по версиям WBA super, WBC, IBF, WBO, а также титула журнала The Ring.",россиянина,NATIONALITY,122,132,0
4,"Представитель талибов Забиулла Муджахид в твиттер-аккаунте 30 апреля заявил, что в провинции Каписа убито 2 «американских захватчика» и 3 афганских силовика, множество ранено.",американских захватчика,PROFESSION,109,132,-1
5,"Астронавт Пирс Селлерс, который брал с собой в полёт Медаль Копли и портрет Стивена Хокинга сказал: «Стивен Хокинг — несомненно, кумир всех нас, вовлечённых в исследование космоса.",Пирс Селлерс,PERSON,10,22,0
6,"Президент США Дональд Трамп охарактеризовал ситуацию с Северной Кореей, как «очень опасную», однако выразил надежду на то, что кризис удастся разрешить.",Президент США,PROFESSION,0,13,0
7,"По словам Мнучина, «Мадуро цепляется за Кубу, чтобы остаться у власти, покупая военную и разведывательную помощь в обмен на нефть».",Мадуро,PERSON,20,26,-1
8,Поводом для возможного задержания якобы стали подозрении в причастности Макафи к убийству соседа — Грегори Ваента Фолла (Gregory Viant Faull).,Макафи,PERSON,72,78,-1
9,Джон Леннон был убит в 1980 году одним из его фанатов — 25-летним охранником из штата Гавайи Марком Дэвидом Чэпменом.,охранником,PROFESSION,66,76,0
